priority_id,rank,priority_class,risk_level,cell_id,operational_risk_index,forecast_operational_risk_index_24h,forecast_operational_risk_index_48h,forecast_operational_risk_index_72h,location,exposure,road_entity_count,settlement_count,verified_report_ids,report_priority_boost,reason,recommended_action,latitude,longitude
P1-001,1,P1,SEVERE,SKM_06361,77.6,75.5,74.9,70.0,SH / Unnamed OSM road,13 OSM road entities,13,0,[],False,Current Operational Risk Index 77.6/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.254798,88.459642
P1-002,2,P1,SEVERE,SKM_05265,77.2,74.6,74.7,69.5,NH310 / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 77.2/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.369498,88.693677
P1-003,3,P1,SEVERE,SKM_06523,77.0,75.2,74.5,69.6,NH510 / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 77.0/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.236428,88.489698
P1-004,4,P1,SEVERE,SKM_04775,76.7,71.2,71.2,66.7,SH / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 76.7/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.425737,88.512462
P1-005,5,P1,SEVERE,SKM_04850,76.1,71.0,71.0,66.4,SH / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 76.1/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.416712,88.512339
P1-006,6,P1,SEVERE,SKM_06980,76.0,75.5,74.0,69.3,NH10 / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 76.0/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.181952,88.519253
P1-007,7,P1,SEVERE,SKM_06981,75.9,75.3,73.8,69.1,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 75.9/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.181842,88.529345
P1-008,8,P1,SEVERE,SKM_06549,75.7,73.4,73.3,68.1,NH 717B · Jelep Pass Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 75.7/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.23339,88.752196
P1-009,9,P1,SEVERE,SKM_05507,75.5,72.1,72.1,67.0,Baluakhani / Baluakhani Road / Burtuk,63 OSM road entities,63,0,[],False,Current Operational Risk Index 75.5/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.343383,88.61242
P1-010,10,P1,SEVERE,SKM_05749,75.4,72.9,72.5,67.5,SH / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 75.4/100 (SEVERE). Exact GIS overlay identifies mapped road and/or settlement exposure.,Urgent human review and field verification; coordinate precautionary road and settlement checks.,27.317975,88.460469
